iter	Passed	Remaining
0	12	2586
1	25	2487
2	36	2418
3	47	2334
4	59	2305
5	69	2258
6	81	2242
7	93	2233
8	104	2215
9	115	2185
10	126	2173
11	138	2167
12	150	2165
13	161	2140
14	172	2128
15	183	2113
16	195	2107
17	207	2099
18	220	2103
19	231	2087
20	243	2073
21	255	2064
22	266	2054
23	279	2052
24	291	2038
25	302	2023
26	313	2010
27	327	2008
28	338	1995
29	351	1990
30	365	1991
31	379	1990
32	391	1982
33	405	1979
34	417	1970
35	432	1971
36	444	1960
37	456	1945
38	470	1940
39	481	1924
40	492	1908
41	503	1895
42	515	1881
43	526	1867
44	538	1854
45	549	1840
46	561	1828
47	573	1817
48	583	1797
49	592	1778
50	602	1759
51	612	1742
52	621	1723
53	630	1704
54	639	1685
55	648	1668
56	659	1653
57	668	1637
58	677	1619
59	686	1601
60	696	1586
61	705	1571
62	715	1555
63	724	1539
64	733	1523
65	742	1507
66	751	1492
67	760	1475
68	769	1461
69	778	1445
70	788	1431
71	797	1417
72	807	1404
73	817	1391
74	827	1378
75	836	1364
76	845	1351
77	855	1337
78	864	1324
79	873	1309
80	882	1296
81	891	1283
82	901	1270
83	910	1258
84	921	1246
85	930	1233
86	939	1219
87	948	1207
88	957	1194
89	966	1181
90	975	1168
91	985	1156
92	994	1143
93	1002	1130
94	1011	1118
95	1021	1106
96	1030	1094
97	1040	1082
98	1049	1070
99	1058	1058
100	1067	1046
101	1078	1035
102	1087	1024
103	1097	1012
104	1105	1000
105	1113	987
106	1123	976
107	1133	965
108	1143	954
109	1153	943
110	1162	932
111	1171	920
112	1180	908
113	1190	898
114	1201	888
115	1213	878
116	1222	867
117	1232	856
118	1241	844
119	1250	833
120	1260	823
121	1270	812
122	1280	801
123	1290	791
124	1301	781
125	1312	770
126	1323	760
127	1333	750
128	1347	741
129	1360	732
130	1372	722
131	1384	713
132	1400	705
133	1414	696
134	1426	686
135	1438	676
136	1450	666
137	1461	656
138	1472	646
139	1483	635
140	1494	625
141	1506	615
142	1517	604
143	1528	594
144	1539	583
145	1549	573
146	1560	562
147	1570	551
148	1580	541
149	1591	530
150	1601	519
151	1612	509
152	1622	498
153	1632	487
154	1643	477
155	1653	466
156	1663	455
157	1673	444
158	1683	434
159	1693	423
160	1703	412
161	1713	401
162	1722	391
163	1732	380
164	1742	369
165	1751	358
166	1761	348
167	1770	337
168	1781	326
169	1790	315
170	1800	305
171	1810	294
172	1821	284
173	1831	273
174	1841	263
175	1850	252
176	1860	241
177	1869	231
178	1881	220
179	1901	211
180	1912	200
181	1922	190
182	1932	179
183	1942	168
184	1952	158
185	1961	147
186	1970	137
187	1980	126
188	1990	115
189	2000	105
190	2011	94
191	2021	84
192	2031	73
193	2041	63
194	2051	52
195	2061	42
196	2071	31
197	2081	21
198	2091	10
199	2101	0
